id,ticker,target,lower_length,upper_length
130828,HPOL-B.ST,25.69,4.9178836196736,5.366032334617639
1220100,HEM.ST,174.83,1.1091854684109472,2.174533539783953
5364,HM-B.ST,0.0,17.263858183400387,36.57557568522359
550518,HOFI.ST,8.04,23.238462695068012,2.0
299737,HTRO.ST,0.0,17.263858183400387,36.57557568522359
5251,HOLM-B.ST,0.0,17.263858183400387,36.57557568522359
45189,HUSQ-B.ST,69.25,23.842530793826988,4.078791958250128
5424,IAR-B.ST,67.02,2.3727375599612857,3.1003680520759698
26607,INDT.ST,43.84,21.02873301371548,3.120253348555787
98412,HMS.ST,0.0,17.263858183400387,36.57557568522359
746877,IPCO.ST,0.0,17.263858183400387,36.57557568522359
5245,INDU-C.ST,37.19,23.61758365630591,3.1216894354107083
