707695, 21.135, 21.15, 2024-01-18 15:10:40
5564, 276.1, 276.25, 2024-01-18 15:10:40
1296604, 27.2, 27.22, 2024-01-18 15:10:41
702377, 49.11, 49.55, 2024-01-18 15:10:41.278000
549022, 3.276, 3.296, 2024-01-18 15:10:42
5274, 123.6, 123.8, 2024-01-18 15:10:41.426000
5244, 316.4, 316.6, 2024-01-18 15:10:42
552344, 186.0, 187.5, 2024-01-18 15:10:41.746000
5426, 182.88, 183.14, 2024-01-18 15:10:42
702377, 49.11, 49.55, 2024-01-18 15:10:42.276000
5364, 161.82, 161.88, 2024-01-18 15:10:43
5245, 316.1, 316.4, 2024-01-18 15:10:43
517316, 4.3735, 4.377, 2024-01-18 15:10:42.362000
126555, 7.65, 7.69, 2024-01-18 15:10:43
707695, 21.14, 21.16, 2024-01-18 15:10:43
5261, 72.16, 72.2, 2024-01-18 15:10:44
5380, 3.026, 3.058, 2024-01-18 15:10:44
5304, 0.98, 0.99, 2024-01-18 15:10:44
5364, 161.82, 161.86, 2024-01-18 15:10:43.880000
237353, 0.319, 0.3245, 2024-01-18 15:10:44
5528, 0.4095, 0.413, 2024-01-18 15:10:44
5536, 131.2, 131.3, 2024-01-18 15:10:44.197000
5564, 276.15, 276.25, 2024-01-18 15:10:44.260000
5269, 247.8, 247.85, 2024-01-18 15:10:45
517316, 4.3755, 4.3825, 2024-01-18 15:10:45
5364, 161.82, 161.88, 2024-01-18 15:10:44.279000
756355, 157.8, 158.2, 2024-01-18 15:10:45.062000
5261, 72.16, 72.22, 2024-01-18 15:10:45.108000
517316, 4.3755, 4.382, 2024-01-18 15:10:45
5564, 276.1, 276.25, 2024-01-18 15:10:45.305000
5422, 137.3, 137.5, 2024-01-18 15:10:46.119000
5261, 72.16, 72.2, 2024-01-18 15:10:45.351000
5304, 0.98, 0.99, 2024-01-18 15:10:47
556803, 4.972, 4.994, 2024-01-18 15:10:46.695000
5564, 276.15, 276.25, 2024-01-18 15:10:47.009000
5471, 207.4, 207.5, 2024-01-18 15:10:48
861430, 187.8, 187.95, 2024-01-18 15:10:48
5240, 63.83, 63.86, 2024-01-18 15:10:47.163000
643541, 104.3, 104.5, 2024-01-18 15:10:47.377000
707695, 21.145, 21.16, 2024-01-18 15:10:47.488000
460955, 0.398, 0.4035, 2024-01-18 15:10:47.487000
5465, 262.7, 263.0, 2024-01-18 15:10:49
5564, 276.15, 276.3, 2024-01-18 15:10:48.174000
613452, 515.5, 516.0, 2024-01-18 15:10:48.285000
18813, 88.65, 88.75, 2024-01-18 15:10:49
5247, 226.75, 226.85, 2024-01-18 15:10:49
5300, 95.84, 95.9, 2024-01-18 15:10:49.006000
5267, 317.8, 318.0, 2024-01-18 15:10:50
5353, 129.45, 129.55, 2024-01-18 15:10:50
643541, 104.4, 104.7, 2024-01-18 15:10:50
5395, 7.0, 7.03, 2024-01-18 15:10:49.652000
5364, 161.84, 161.9, 2024-01-18 15:10:49.647000
56267, 105.5, 105.7, 2024-01-18 15:10:50
5264, 108.7, 108.75, 2024-01-18 15:10:50.169000
5240, 63.83, 63.85, 2024-01-18 15:10:50.169000
837354, 73.9, 74.5, 2024-01-18 15:10:51
56267, 105.65, 105.75, 2024-01-18 15:10:50.908000
98412, 497.6, 498.6, 2024-01-18 15:10:52
5267, 317.9, 318.1, 2024-01-18 15:10:52
5369, 102.05, 102.1, 2024-01-18 15:10:52
5468, 1.227, 1.234, 2024-01-18 15:10:52
5240, 63.82, 63.84, 2024-01-18 15:10:52.020000
56267, 105.65, 105.75, 2024-01-18 15:10:52
572678, 86.4, 86.5, 2024-01-18 15:10:52
1296604, 27.2, 27.23, 2024-01-18 15:10:52.017000
791946, 234.8, 235.2, 2024-01-18 15:10:53
5369, 101.95, 102.1, 2024-01-18 15:10:52
5468, 1.227, 1.234, 2024-01-18 15:10:52.516000
556803, 4.97, 4.994, 2024-01-18 15:10:52.583000
98412, 497.4, 498.0, 2024-01-18 15:10:52.726000
5264, 108.7, 108.75, 2024-01-18 15:10:53
5240, 63.81, 63.84, 2024-01-18 15:10:52.840000
643541, 104.5, 104.7, 2024-01-18 15:10:53.438000
791946, 234.6, 235.2, 2024-01-18 15:10:54
740416, 325.7, 326.7, 2024-01-18 15:10:54
613452, 515.0, 516.0, 2024-01-18 15:10:55
702377, 49.11, 49.55, 2024-01-18 15:10:54.278000
5300, 95.82, 95.9, 2024-01-18 15:10:54.348000
5245, 316.2, 316.4, 2024-01-18 15:10:54.500000
945460, 3.412, 3.422, 2024-01-18 15:10:55
5255, 138.75, 138.85, 2024-01-18 15:10:55
1296604, 27.2, 27.23, 2024-01-18 15:10:56
460955, 0.398, 0.403, 2024-01-18 15:10:55.511000
5459, 64.16, 64.2, 2024-01-18 15:10:56
5269, 247.8, 247.85, 2024-01-18 15:10:57
5238, 93.94, 94.04, 2024-01-18 15:10:56.239000
5240, 63.82, 63.84, 2024-01-18 15:10:56.587000
5234, 165.0, 165.05, 2024-01-18 15:10:57
5263, 141.1, 141.2, 2024-01-18 15:10:58
5325, 60.06, 60.08, 2024-01-18 15:10:58
5386, 88.7, 88.74, 2024-01-18 15:10:57.329000
5364, 161.84, 161.92, 2024-01-18 15:10:57.503000
5240, 63.81, 63.84, 2024-01-18 15:10:57.391000
5300, 95.88, 96.0, 2024-01-18 15:10:58.021000
517316, 4.3785, 4.384, 2024-01-18 15:10:57.871000
5459, 64.24, 64.28, 2024-01-18 15:10:58
5353, 129.55, 129.65, 2024-01-18 15:10:58
5374, 208.2, 208.8, 2024-01-18 15:10:58
405815, 246.3, 246.6, 2024-01-18 15:10:58
5508, 170.8, 171.6, 2024-01-18 15:10:58.029000
599956, 27.755, 27.775, 2024-01-18 15:10:58
5337, 56.7, 56.85, 2024-01-18 15:10:58
5238, 93.96, 94.04, 2024-01-18 15:10:57.906000
5263, 141.15, 141.2, 2024-01-18 15:10:58
5364, 161.84, 161.92, 2024-01-18 15:10:58.157000
41007, 430.8, 431.6, 2024-01-18 15:10:58.451000
831975, 118.9, 119.05, 2024-01-18 15:10:58.474000
945460, 3.412, 3.434, 2024-01-18 15:10:59
913957, 4.905, 4.92, 2024-01-18 15:10:59
5353, 129.5, 129.65, 2024-01-18 15:10:58.594000
5374, 208.2, 208.6, 2024-01-18 15:10:59
599956, 27.755, 27.775, 2024-01-18 15:10:59.093000
5329, 97.6, 97.9, 2024-01-18 15:10:59.136000
5465, 262.8, 263.0, 2024-01-18 15:10:59.046000
5261, 72.16, 72.22, 2024-01-18 15:11:00
5249, 125.18, 125.2, 2024-01-18 15:10:59.093000
5240, 63.82, 63.84, 2024-01-18 15:10:59.084000
5564, 276.2, 276.3, 2024-01-18 15:11:00
5259, 192.95, 193.0, 2024-01-18 15:10:59.085000
445784, 75.8, 76.0, 2024-01-18 15:11:00
5260, 73.12, 73.18, 2024-01-18 15:11:00
5234, 165.05, 165.1, 2024-01-18 15:11:00
5271, 282.7, 282.8, 2024-01-18 15:11:00
5263, 141.1, 141.2, 2024-01-18 15:10:59
5235, 142.25, 142.3, 2024-01-18 15:10:59.194000
861430, 187.85, 187.95, 2024-01-18 15:10:59.226000
6048, 188.4, 188.6, 2024-01-18 15:10:59.233000
5255, 138.75, 138.8, 2024-01-18 15:10:59.251000
5269, 247.8, 247.9, 2024-01-18 15:11:00
5257, 170.0, 170.1, 2024-01-18 15:10:59.250000
764241, 251.4, 251.6, 2024-01-18 15:10:59.257000
26607, 247.0, 247.4, 2024-01-18 15:11:00
5300, 95.92, 96.0, 2024-01-18 15:10:59.394000
5364, 161.86, 161.92, 2024-01-18 15:10:59.232000
1455120, 70.22, 70.3, 2024-01-18 15:11:00
5282, 219.4, 219.6, 2024-01-18 15:10:59.426000
5422, 137.4, 137.5, 2024-01-18 15:10:59.450000
5251, 414.6, 414.8, 2024-01-18 15:11:00
5324, 92.7, 92.78, 2024-01-18 15:11:00
549768, 1204.8, 1205.0, 2024-01-18 15:11:00
5321, 252.3, 252.6, 2024-01-18 15:11:00
752039, 42.5, 42.62, 2024-01-18 15:11:00
765299, 198.2, 198.4, 2024-01-18 15:10:59.591000
913957, 4.914, 4.92, 2024-01-18 15:10:59.204000
5353, 129.55, 129.65, 2024-01-18 15:10:59.005000
1241651, 60.85, 60.9, 2024-01-18 15:10:59.856000
811076, 9.26, 9.3, 2024-01-18 15:11:00
5386, 88.72, 88.76, 2024-01-18 15:10:59.904000
599956, 27.755, 27.775, 2024-01-18 15:10:59.319000
5261, 72.2, 72.22, 2024-01-18 15:11:00
5564, 276.2, 276.3, 2024-01-18 15:11:00
5249, 125.2, 125.24, 2024-01-18 15:11:00
5240, 63.82, 63.85, 2024-01-18 15:10:59.479000
5235, 142.25, 142.35, 2024-01-18 15:11:00
707695, 21.155, 21.165, 2024-01-18 15:11:01
5401, 690.0, 690.4, 2024-01-18 15:11:01
5257, 170.0, 170.15, 2024-01-18 15:10:59.527000
945460, 3.4, 3.432, 2024-01-18 15:11:01
709195, 108.0, 108.4, 2024-01-18 15:11:00.451000
5251, 414.5, 414.8, 2024-01-18 15:11:00
5274, 123.6, 123.8, 2024-01-18 15:11:01
517316, 4.3785, 4.384, 2024-01-18 15:11:00.579000
5422, 137.4, 137.6, 2024-01-18 15:11:00.668000
811076, 9.265, 9.3, 2024-01-18 15:11:00.388000
5280, 79.0, 79.08, 2024-01-18 15:11:01
5386, 88.7, 88.74, 2024-01-18 15:11:00.665000
599956, 27.76, 27.775, 2024-01-18 15:11:00.679000
