ticker,lower_length,upper_length,target,id
CALTX.ST,25.55718796236638,11.431814992595914,348.0,863757
BURE.ST,13.68241831576755,19.340539734754607,238.03,5277
BTS-B.ST,9.743572929259072,29.591376730036266,285.9,5503
BOOZT.ST,38.98167039228882,25.487922461553076,695.62,757760
BMAX.ST,16.460723311199615,14.973195881928326,731.58,233288
BULTEN.ST,19.54042057445076,9.984343302752997,293.31,290011
BONEX.ST,43.02033039405522,8.989696431161422,2309.69,765299
CANTA.ST,4.330614654405764,20.768761847574773,819.37,549022
BRIN-B.ST,16.454183752534117,18.86259235643893,670.52,694166
BUFAB.ST,17.846300518360806,5.0,923.96,462932
BFG.ST,38.90030796615662,29.83256587294723,698.43,1290782
CAMX.ST,40.46758115755626,5.0853877385592945,2267.75,613452
BRAV.ST,27.95834502164735,19.79136469865749,37.2,602637
COLL.ST,19.348968206913256,41.0162246721079,0.0,559858
CAST.ST,13.931062907444376,49.21603101800297,99.42,5353
CAT-B.ST,7.940462326446062,20.497690564817205,358.13,159629
CLAS-B.ST,27.059881350306746,8.821515728351665,820.73,5457
CATE.ST,37.71001366607556,7.955588868235048,242.87,41007
CBTT-B.ST,33.061183716653375,5.0264057590112,658.92,513577
CTM.ST,1.0524124302874318,23.747597712069037,423.2,632719
CEVI.ST,3.6337292041570324,11.36339131282612,165.2,81967
CIBUS.ST,21.665333889980648,47.07618466522015,80.9,831975
CS.ST,11.315677127876633,28.53574159209343,232.11,620656
CCC.ST,21.428619091123398,20.599361011376534,28.29,1139606
CAT-A.ST,3.114052038889156,46.85686620522523,-259.34,159628
CLA-B.ST,29.87936636607593,53.18073351939744,-10.37,163148
CNCJO-B.ST,4.088424207519495,51.07829084930512,97.68,5279
CINT.ST,1.0,51.44294119261924,-26.14,1192970
COIC.ST,1.0,55.0,-52.87,298354
CCOR-B.ST,41.7943683143365,5.043564578845978,480.9,5356
CTEK.ST,1.9635947416860433,22.44165622805881,129.11,1279465
CORE-A.ST,30.31198348058845,34.25321307416296,173.23,181790
CORE-D.ST,12.069544046242413,43.09612989538674,71.9,1242472
COOR.ST,4.595220512344739,38.84159901622761,80.46,572375
CTT.ST,39.659183150252474,5.696698186577459,247.0,5425
CORE-B.ST,17.94910378360857,19.608473629597505,252.02,811076
CRED-A.ST,39.56112270102569,49.730333175192364,55.66,338588
DEDI.ST,34.23857162113229,10.225155190026793,1363.73,286778
CORE-PREF.ST,16.962216782173495,21.942070841615845,292.63,216649
