id,ticker,target,lower_length,upper_length
299737,HTRO.ST,2326.99,3.336033949977569,16.230186833133317
5251,HOLM-B.ST,-152.17,6.6038547509257075,28.90975535886879
45189,HUSQ-B.ST,782.5,10.0,17.337534621539906
5424,IAR-B.ST,1562.25,8.357989278398222,11.071731278674589
98412,HMS.ST,546.51,6.804268927021084,27.75457877964706
746877,IPCO.ST,-41.63,2.676341902399038,17.565653813817907
645576,IBT-B.ST,3454.35,6.1054543522936155,11.0
5583,INTRUM.ST,120.59,5.759067897884162,26.96297206119999
134988,ITAB.ST,4637.69,9.012228979423567,14.576394829250955
43788,IVSO.ST,223.19,5.807343437849486,12.660397016879688
5245,INDU-C.ST,296.45,6.805657261606368,12.869332146960069
752039,INSTAL.ST,669.76,9.229379886379178,16.697241043187987
26607,INDT.ST,1331.39,9.119305043776718,11.0
